CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,BalanceSalaryRatio,ProductEngagement,AgeTenureInteraction,ZeroBalance,Geography_Germany,Geography_Spain,Gender_Male
753,57,7,0.0,1,1,0,159475.08,0.0,0,399,1,False,False,True
739,32,3,102128.27,1,1,0,63981.37,1.596193920293981,0,96,0,True,False,True
755,37,0,113865.23,2,1,1,117396.25,0.9699139460251411,2,0,0,True,False,False
561,37,5,0.0,2,1,0,83093.25,0.0,0,185,1,False,False,True
692,49,6,110540.43,2,0,1,107472.99,1.028531926654998,2,294,0,True,False,True
659,38,9,0.0,2,1,1,132809.18,0.0,2,342,1,False,False,False
782,34,9,0.0,1,1,0,183021.06,0.0,0,306,1,False,False,True
546,24,8,156325.38,1,1,1,125381.02,1.2467926421986182,1,192,0,False,False,True
756,41,2,124439.49,2,0,1,47093.11,2.6423578235155096,2,82,0,True,False,True
685,34,6,83264.28,1,0,0,9663.28,8.61567338694657,0,204,0,False,True,True
531,53,5,127642.44,1,1,0,141501.45,0.9020510952283864,0,265,0,False,False,False
560,31,3,115141.18,1,1,0,39806.75,2.892431247684182,0,93,0,False,False,False
733,31,9,102289.85,1,1,1,115441.66,0.886066294730215,1,279,0,False,True,False
674,27,4,111568.01,1,0,1,22026.18,5.065015585290536,1,108,0,True,False,False
644,37,9,0.0,2,1,1,96442.86,0.0,2,333,1,False,True,True
695,32,9,0.0,3,0,1,38533.79,0.0,3,288,1,False,True,True
750,42,8,151836.36,2,1,0,68695.38,2.2102527090947146,0,336,0,True,False,True
754,35,6,98585.94,2,0,1,106116.84,0.9290232443479816,2,210,0,True,False,True
744,34,3,0.0,2,1,0,27244.35,0.0,0,102,1,False,True,True
588,22,9,67178.19,1,1,1,163534.75,0.41078595964490944,1,198,0,False,True,False
696,44,8,161889.79,1,0,0,75562.47,2.142434565273405,0,352,0,False,False,True
774,52,2,56580.93,1,1,0,113266.28,0.49953464054226426,0,104,0,False,False,False
704,31,0,0.0,2,1,0,183038.33,0.0,0,0,1,False,False,True
723,48,7,0.0,2,1,1,150694.58,0.0,2,336,1,False,False,True
536,46,1,65733.41,1,1,0,61094.53,1.0759119366015812,0,46,0,False,False,True
691,35,6,0.0,2,0,1,178038.17,0.0,2,210,1,False,True,True
611,40,7,128486.91,2,1,0,10109.47,12.708302383568718,0,280,0,True,False,False
691,30,7,101231.77,2,0,0,156529.44,0.6467225799659159,0,210,0,True,False,True
659,34,9,134464.58,2,1,0,178833.34,0.7518946305278952,0,306,0,True,False,True
711,29,9,0.0,2,0,1,3234.8,0.0,2,261,1,False,False,False
559,24,3,114739.92,1,1,0,85891.02,1.3358624002555766,0,72,0,False,True,True
716,44,3,109528.28,1,1,0,27341.63,4.00576974490018,0,132,0,False,False,False
583,48,3,91246.53,1,1,0,60017.46,1.5203077519816404,0,144,0,False,False,True
593,41,6,0.0,1,1,0,65170.66,0.0,0,246,1,False,False,False
824,60,8,134250.17,3,0,0,153046.16,0.8771817131399238,0,480,0,True,False,True
567,48,3,0.0,1,1,0,55362.45,0.0,0,144,1,False,False,False
552,33,5,140931.57,1,0,1,10921.5,12.902867475394828,1,165,0,False,False,True
564,27,6,0.0,1,0,0,7819.76,0.0,0,162,1,False,False,False
756,42,9,0.0,2,1,0,35673.42,0.0,0,378,1,False,False,False
733,32,5,0.0,2,1,0,131625.14,0.0,0,160,1,False,True,False
772,47,9,152347.01,1,0,1,17671.78,8.620432665375795,1,423,0,False,False,True
628,51,10,115280.49,2,0,0,12628.61,9.12779492003316,0,510,0,True,False,False
579,45,2,0.0,2,0,0,11514.39,0.0,0,90,1,False,False,False
676,34,1,63095.01,1,1,1,40645.81,1.5522745819413628,1,34,0,False,False,False
411,29,0,59697.17,2,1,1,53483.21,1.116164378234249,2,0,0,False,False,True
547,49,8,121537.71,2,1,0,46521.45,2.61245291251858,0,392,0,True,False,True
727,31,3,82729.47,2,1,0,60212.51,1.3739353510532768,0,93,0,True,False,False
722,40,6,89175.06,2,0,1,152883.95,0.5832821347032523,2,240,0,True,False,False
500,50,5,0.0,4,1,1,83866.35,0.0,4,250,1,False,True,False
687,34,9,125474.44,1,1,0,198929.84,0.6307440314432896,0,306,0,False,False,False
751,48,4,0.0,1,0,1,30165.06,0.0,1,192,1,False,False,False
564,33,4,135946.26,1,1,0,63170.0,2.152035902550221,0,132,0,False,False,False
545,53,5,114421.55,1,1,0,180598.28,0.6335659256227378,0,265,0,True,False,True
561,34,4,85141.79,2,1,1,29217.37,2.913981512315711,2,136,0,False,True,True
571,37,9,139592.98,3,1,0,104152.65,1.3402600869004593,0,333,0,True,False,True
844,18,2,160980.03,1,0,0,145936.28,1.1030768149166545,0,36,0,False,False,True
642,36,6,0.0,2,1,1,97938.59,0.0,2,216,1,False,True,False
523,32,4,0.0,2,1,0,167848.02,0.0,0,128,1,False,True,True
575,46,1,0.0,2,1,1,65998.26,0.0,2,46,1,False,False,True
729,36,8,109106.8,1,0,0,121311.12,0.8993891129756862,0,288,0,False,False,False
597,60,0,131778.08,1,0,0,10703.53,12.310496584156425,0,0,0,False,False,False
787,39,10,108935.39,1,1,1,101168.3,1.0767633066552798,1,390,0,False,True,True
646,46,4,0.0,3,1,0,93251.42,0.0,0,184,1,False,False,False
544,21,10,161525.96,2,1,0,9262.77,17.436309407509036,0,210,0,False,False,False
738,35,5,161274.05,2,1,0,181429.87,0.8889008248706518,0,175,0,False,False,True
581,54,4,89299.81,1,0,0,5558.47,16.062648058178205,0,216,0,False,False,True
673,65,0,0.0,1,1,1,85733.33,0.0,1,0,1,False,False,True
667,38,6,144432.04,1,1,1,73963.17,1.9527298149901502,1,228,0,False,False,False
721,40,7,0.0,2,1,1,122580.48,0.0,2,280,1,False,False,False
548,33,6,0.0,1,1,1,31728.35,0.0,1,198,1,False,True,True
501,29,8,0.0,2,1,0,112664.24,0.0,0,232,1,False,False,False
490,39,1,0.0,3,1,0,171060.01,0.0,0,39,1,False,False,True
706,44,2,185932.18,2,1,0,65413.41,2.8423734158880283,0,88,0,True,False,False
717,36,2,102989.83,2,0,1,49185.57,2.09386078354315,2,72,0,False,True,True
595,23,7,0.0,2,1,1,168085.97,0.0,2,161,1,False,True,True
730,62,2,0.0,2,1,1,186489.95,0.0,2,124,1,False,True,True
657,39,4,80293.81,1,1,0,97192.76,0.8261210390461281,0,156,0,False,False,False
599,25,3,0.0,2,1,1,120790.02,0.0,2,75,1,False,True,True
619,33,2,167733.51,2,1,1,65222.48,2.5716737285407034,2,66,0,False,False,False
639,31,3,98360.03,1,0,0,20973.8,4.68943827831493,0,93,0,False,False,False
504,42,3,134936.97,2,0,0,135178.91,0.9982028394603902,0,126,0,False,False,True
694,38,7,121527.4,1,1,0,113481.02,1.0708956361545203,0,266,0,False,True,True
451,38,9,61482.47,1,1,1,167538.66,0.36697263203232,1,342,0,True,False,False
667,40,1,146502.07,1,1,0,19162.89,7.644693744328527,0,40,0,False,True,False
762,19,6,0.0,2,1,0,55500.17,0.0,0,114,1,False,True,False
640,55,10,132436.34,1,1,0,978.66,135.18602372251598,0,550,0,False,False,True
556,46,10,0.0,2,0,0,109184.24,0.0,0,460,1,False,False,False
841,74,9,108131.53,1,0,1,60830.38,1.7775616795147504,1,666,0,False,False,True
469,48,5,0.0,1,1,0,160529.71,0.0,0,240,1,False,False,False
579,41,0,141749.68,1,0,1,9201.53,15.403337995094825,1,0,0,True,False,True
774,40,9,93017.47,2,1,0,191608.97,0.48545214009479776,0,360,0,False,False,True
642,26,0,0.0,1,0,0,47472.68,0.0,0,0,1,False,False,True
557,42,6,177822.03,1,1,0,150944.31,1.1780560124723318,0,252,0,False,False,True
711,45,1,97486.15,2,1,0,50610.62,1.9261614230091824,0,45,0,True,False,False
642,30,8,80964.57,2,1,0,174738.2,0.4633452024502802,0,240,0,False,False,True
634,27,3,107027.52,1,1,0,173425.68,0.6171341110837156,0,81,0,True,False,True
826,29,4,129938.07,1,0,1,190200.53,0.6831599619624511,1,116,0,False,True,False
430,35,1,118894.22,1,0,0,2923.61,40.65301698346104,0,35,0,False,False,True
733,28,5,0.0,2,0,0,12761.16,0.0,0,140,1,False,False,False
632,42,4,126115.6,1,1,0,100998.5,1.2486754884925173,0,168,0,False,False,True
539,38,6,0.0,1,1,1,152880.07,0.0,1,228,1,False,True,True
614,41,7,179915.85,1,0,0,14666.35,12.266418269148824,0,287,0,False,True,False
706,20,8,0.0,2,1,1,12368.11,0.0,2,160,1,False,True,True
640,30,5,32197.64,1,0,1,141446.01,0.22763040378159988,1,150,0,True,False,False
711,43,2,39043.29,2,1,1,175423.69,0.22256439501189942,2,86,0,True,False,True
703,41,6,109941.51,1,1,0,116267.28,0.9455847286981454,0,246,0,False,False,False
661,47,0,109493.62,1,0,0,188324.01,0.5814077482326961,0,0,0,True,False,False
663,43,4,87624.03,2,1,0,149401.33,0.586497078057618,0,172,0,False,False,True
568,33,7,0.0,2,1,0,143450.61,0.0,0,231,1,False,False,True
727,39,5,80615.46,2,0,0,180962.32,0.4454795590620243,0,195,0,True,False,True
677,34,10,171671.9,1,1,1,50777.77,3.380780983863926,1,340,0,False,True,False
557,36,3,0.0,1,0,1,144078.02,0.0,1,108,1,False,False,True
640,39,3,0.0,1,1,1,105997.25,0.0,1,117,1,False,True,True
551,35,7,129717.3,2,0,0,86937.2,1.4920633277431556,0,245,0,False,False,True
575,52,8,123925.23,1,0,0,111342.66,1.1129976327345446,0,416,0,False,True,True
606,40,6,119501.88,2,1,0,46774.94,2.554772389395061,0,240,0,False,False,True
711,53,5,123805.03,1,1,0,102428.51,1.208685172856924,0,265,0,True,False,False
850,28,8,67639.56,2,1,1,194245.29,0.3482154536902609,2,224,0,False,False,True
633,31,1,0.0,1,1,0,48606.71,0.0,0,31,1,False,False,True
646,29,4,105957.44,1,1,0,15470.91,6.848374893597494,0,116,0,True,False,False
626,38,7,141074.59,1,1,0,52795.56,2.672041322389186,0,266,0,False,False,True
716,40,3,0.0,2,0,1,167636.15,0.0,2,120,1,False,False,False
779,37,2,128389.63,1,1,1,6589.16,19.482020163395124,1,74,0,True,False,False
635,32,8,0.0,2,1,1,19367.98,0.0,2,256,1,False,True,False
775,27,4,0.0,1,1,1,40807.26,0.0,1,108,1,False,True,True
678,26,5,111128.04,1,1,0,60941.27,1.823496893043203,0,130,0,False,False,True
839,51,3,0.0,1,1,1,69101.23,0.0,1,153,1,False,False,False
692,31,2,0.0,2,1,0,91829.17,0.0,0,62,1,False,False,False
499,21,3,176511.08,1,1,1,153920.22,1.1467624801830443,1,63,0,False,False,False
530,34,8,0.0,2,0,1,141872.52,0.0,2,272,1,False,False,False
548,33,1,80107.83,2,0,1,82245.67,0.9739948134070352,2,33,0,False,False,False
537,41,3,138306.34,1,1,0,106761.47,1.2954584134293632,0,123,0,True,False,False
678,48,2,101099.9,2,0,1,193476.04,0.5225421062881672,2,96,0,True,False,True
533,43,4,80442.06,2,0,1,12537.42,6.415645671464188,2,172,0,True,False,True
723,20,4,0.0,2,1,1,140385.33,0.0,2,80,1,False,False,False
544,38,8,0.0,1,1,1,98208.62,0.0,1,304,1,False,False,True
847,31,5,0.0,2,1,1,76326.67,0.0,2,155,1,False,True,True
575,47,9,107915.94,2,1,1,63452.18,1.700717599968985,2,423,0,True,False,True
574,34,5,0.0,2,0,0,28269.86,0.0,0,170,1,False,True,True
572,31,5,98108.79,1,0,1,119996.95,0.817587217114959,1,155,0,False,True,True
718,31,1,152663.77,1,0,1,17128.64,8.912257934200602,1,31,0,False,False,False
637,35,8,147127.81,2,1,1,84760.7,1.7357817268884415,2,280,0,True,False,True
704,24,2,0.0,1,1,0,35600.25,0.0,0,48,1,False,True,False
645,33,8,149564.61,1,0,0,149913.84,0.9976638069986933,0,264,0,True,False,True
597,35,8,131101.04,1,1,1,192852.67,0.6797954117233029,1,280,0,True,False,False
598,35,8,114212.6,1,1,1,74322.85,1.536688425047949,1,280,0,False,False,True
703,31,6,0.0,2,1,1,67667.19,0.0,2,186,1,False,True,True
724,34,2,154485.74,2,0,0,78560.64,1.9664271265212894,0,68,0,False,False,True
613,37,3,171653.17,1,0,1,5353.12,32.060015464726234,1,111,0,False,True,True
696,30,8,0.0,2,1,1,196134.44,0.0,2,240,1,False,False,False
813,27,1,137275.36,1,0,1,115733.16,1.1861265507089693,1,27,0,False,True,True
714,26,9,89928.99,1,1,0,46203.31,1.9463333615413803,0,234,0,False,False,False
794,37,9,0.0,2,1,0,68008.85,0.0,0,333,1,False,True,False
687,36,5,0.0,1,1,0,17696.22,0.0,0,180,1,False,True,False
598,64,1,0.0,2,1,0,195635.3,0.0,0,64,1,False,False,True
773,41,4,0.0,2,1,1,24924.92,0.0,2,164,1,False,False,True
545,37,8,114754.08,1,1,0,136050.44,0.8434609732906906,0,296,0,True,False,False
632,39,5,97854.37,2,1,0,93536.38,1.0461525648890315,0,195,0,False,True,False
826,56,8,174506.1,2,0,1,161802.82,1.0785042034236274,2,448,0,False,True,False
535,50,1,140292.58,3,0,0,69531.22,2.017662890671404,0,50,0,False,True,False
572,35,4,152390.26,1,1,0,128123.66,1.1893905513583412,0,140,0,False,True,True
706,30,6,87609.68,2,0,0,137674.55,0.636348865139816,0,180,0,False,True,True
694,30,10,144684.03,1,1,1,31805.49,4.54888389130646,1,300,0,False,False,True
575,30,2,0.0,2,1,1,82222.86,0.0,2,60,1,False,True,True
626,44,10,81553.93,1,1,0,20063.63,4.0645618683225155,0,440,0,False,False,False
645,37,1,0.0,2,1,1,68987.55,0.0,2,37,1,False,False,False
758,32,2,84378.9,1,1,1,75396.43,1.1191216995062034,1,64,0,False,False,False
559,62,6,118756.62,1,1,1,20367.68,5.8303542497599254,1,372,0,False,False,True
696,31,3,150604.52,1,0,0,5566.6,27.050168833967955,0,93,0,True,False,True
480,44,10,129608.57,1,1,0,5472.7,23.6784204468641,0,440,0,True,False,True
567,36,1,0.0,2,0,0,8555.73,0.0,0,36,1,False,False,True
720,29,7,106230.92,1,1,1,69903.93,1.5196484711450253,1,203,0,True,False,False
528,62,7,133201.17,1,0,0,168507.68,0.7904706748637519,0,434,0,True,False,False
687,27,9,152328.88,2,0,0,126494.82,1.2042206612044573,0,243,0,True,False,False
