Feature,Importance
Age,0.38671280638702304
NumOfProducts,0.2792859417225362
ProductEngagement,0.10899176947115705
Balance,0.0628654641172237
Geography_Germany,0.058668940071400465
BalanceSalaryRatio,0.024782344529173588
IsActiveMember,0.020501906944859878
CreditScore,0.017090323784548476
EstimatedSalary,0.013362041223289788
Gender_Male,0.01326468804404985
AgeTenureInteraction,0.011292081451921324
ZeroBalance,0.0012307168666160567
Geography_Spain,0.0010645873173398422
HasCrCard,0.0006245909412556357
Tenure,0.00026179712760528563
